55.0  -71.13 0.0
55.0 39.81 4.61 1.3
55.0 39.84 -3.27 1.3
55.0 39.85 1.50 1.1
55.0 39.85 4.77 1.2
55.0 39.84 9.30 1.1
55.0 39.85 5.12 1.0
55.0 39.84 9.17 1.1
55.0 39.84 5.12 0.8
55.0 39.86 0.33 1.0
55.0 39.86 5.42 0.9
55.0 39.87 0.38 0.9
55.0 39.86 9.24 0.9
55.0 39.87 0.90 1.1
55.0 39.85 13.48 0.9
55.0 39.85 5.45 1.0
55.0 39.82 17.97 0.7
55.0 39.84 0.93 0.7
55.0 39.84 5.50 0.7
55.0 39.86 0.32 0.8
55.0 39.87 0.91 0.8
55.0 39.87 4.83 0.7
55.0 39.88 0.90 0.7
55.0 39.86 13.47 0.7
55.0 39.87 0.91 1.2
55.0 39.87 5.10 0.7
55.0 39.88 0.90 0.7
55.0 39.88 4.87 0.7
55.0 39.89 0.89 0.5
55.0 39.87 13.71 0.6
55.0 39.88 1.80 0.7
55.0 39.90 -3.98 0.6
55.0 39.91 0.88 0.8
55.0 39.91 0.87 0.5
55.0 39.94 -7.56 0.5
55.0 39.95 1.03 0.6
55.0 39.91 18.28 0.4
55.0 39.91 0.87 0.7
55.0 39.93 -2.87 0.5
55.0 39.94 0.85 0.7
55.0 39.94 0.85 0.5
55.0 39.94 0.65 0.5
55.0 39.96 -3.36 0.5
55.0 39.96 0.96 0.5
55.0 39.96 0.72 0.4
55.0 39.96 0.72 0.3
55.0 39.98 -3.09 0.2
55.0 39.99 -3.39 0.5
55.0 39.97 8.84 0.3
55.0 39.95 9.55 0.4
55.0 39.95 1.01 0.3
55.0 39.95 0.68 0.3
55.0 39.97 -3.74 0.4
55.0 39.97 1.02 0.3
55.0 39.97 0.74 0.3
55.0 39.97 0.74 0.4
55.0 39.99 -7.60 0.5
55.0 39.99 0.81 0.4
55.0 39.99 0.81 0.3
55.0 40.00 -3.61 0.3
55.0 40.01 -3.47 0.5
55.0 40.00 0.63 0.0
55.0 40.02 -8.19 0.4
55.0 40.03 -3.63 0.4
55.0 40.04 -3.73 0.3
55.0 40.03 0.16 0.3
55.0 40.04 -3.76 0.2
55.0 40.04 -3.78 0.4
55.0 40.06 -7.97 0.1
55.0 40.02 12.39 0.3
55.0 40.02 -3.54 0.5
55.0 40.02 0.63 0.7
55.0 40.04 -8.24 0.5
55.0 40.04 -3.81 0.9
e 9.239930152893066
