55.0 52.93 83.67 6.7
55.0 52.99 47.22 6.9
55.0 53.03 43.59 6.6
55.0 53.06 49.44 6.7
55.0 53.09 56.32 6.4
55.0 53.12 44.36 6.5
55.0 53.13 58.50 6.3
55.0 53.14 53.31 6.2
55.0 53.23 22.68 6.5
55.0 53.24 53.80 6.6
55.0 53.26 45.58 6.1
55.0 53.29 46.59 6.9
55.0 53.31 46.01 6.2
55.0 53.31 51.62 5.6
55.0 53.32 48.92 5.6
55.0 53.31 59.42 6.0
55.0 53.34 43.66 5.8
55.0 53.35 46.34 5.4
55.0 53.36 49.09 5.7
55.0 53.35 54.37 6.0
55.0 53.39 35.44 5.6
55.0 53.43 38.78 5.8
55.0 53.42 54.68 5.4
55.0 53.58 -9.39 6.6
55.0 53.65 14.90 5.5
55.0 53.63 48.82 5.2
55.0 53.64 42.09 5.4
55.0 53.61 54.24 5.0
55.0 53.58 55.51 5.1
55.0 53.58 42.74 5.2
55.0 53.57 52.07 5.2
55.0 53.57 42.65 5.0
55.0 53.53 59.13 4.8
55.0 53.52 49.92 4.6
55.0 53.53 44.64 5.2
55.0 53.52 49.92 5.3
55.0 53.47 64.20 5.5
55.0 53.44 60.09 5.4
55.0 53.41 59.95 5.4
55.0 53.42 46.94 5.2
55.0 53.42 49.41 5.6
55.0 53.44 44.17 5.5
55.0 53.41 58.09 5.2
55.0 53.40 54.61 5.5
55.0 53.38 57.80 5.8
55.0 53.38 51.78 5.4
55.0 53.38 52.20 5.6
55.0 53.36 59.66 5.6
55.0 53.39 35.45 5.8
55.0 53.40 49.30 5.5
55.0 53.41 49.32 5.6
55.0 53.41 46.87 5.5
55.0 53.41 49.37 5.4
55.0 53.40 54.62 5.3
55.0 53.39 52.35 5.5
55.0 53.39 54.52 5.4
55.0 53.42 38.75 5.8
55.0 53.41 54.65 5.4
55.0 53.40 52.39 5.4
55.0 53.38 59.76 5.6
55.0 53.35 59.66 5.6
55.0 53.34 57.43 5.6
55.0 53.39 33.24 5.4
55.0 53.34 68.60 5.6
55.0 53.31 66.67 6.0
55.0 53.29 57.07 5.8
55.0 53.28 56.96 6.0
55.0 53.23 74.74 5.5
55.0 53.21 64.17 6.1
55.0 53.19 64.08 6.3
55.0 53.16 67.01 6.2
55.0 53.20 46.45 6.1
55.0 53.18 61.68 6.2
55.0 53.17 61.54 6.1
55.0 53.17 58.71 6.0
55.0 53.18 53.50 6.2
55.0 53.18 58.77 6.0
55.0 53.19 50.59 5.8
55.0 53.18 61.61 6.1
55.0 53.17 61.47 6.1
55.0 53.13 72.31 6.3
55.0 53.12 63.74 6.5
55.0 53.10 66.48 6.3
55.0 53.12 53.18 6.6
55.0 53.09 68.85 6.3
55.0 53.04 77.07 6.4
55.0 53.06 61.28 6.5
55.0 53.07 55.10 6.4
55.0 53.04 73.78 6.6
55.0 52.96 87.34 7.2
55.0 53.04 36.83 6.5
55.0 53.01 73.66 6.6
55.0 52.96 81.79 6.7
55.0 52.92 78.41 7.1
55.0 52.92 67.96 7.1
55.0 52.94 54.00 7.4
55.0 52.91 78.34 6.8
55.0 52.88 75.61 6.7
55.0 52.85 80.79 7.2
55.0 52.84 69.75 7.2
55.0 52.81 77.88 7.3
55.0 52.88 46.67 7.1
55.0 52.86 69.98 7.3
55.0 52.85 72.85 7.2
55.0 52.76 101.86 7.3
55.0 52.74 83.76 7.6
55.0 52.67 95.69 7.6
55.0 52.68 68.36 7.8
55.0 52.64 87.37 7.8
55.0 52.64 76.99 8.4
55.0 52.61 87.19 8.0
55.0 52.72 29.58 8.4
55.0 52.75 61.87 7.8
55.0 52.71 87.70 7.8
55.0 52.67 84.76 8.2
55.0 52.54 122.57 8.0
55.0 52.50 94.94 8.3
55.0 52.47 91.66 8.8
55.0 52.44 88.24 8.6
55.0 52.50 55.71 8.4
55.0 52.50 85.15 8.7
55.0 52.52 66.98 8.6
55.0 52.54 71.29 9.2
55.0 52.51 88.81 8.5
55.0 52.47 94.90 8.5
55.0 52.46 82.93 8.7
55.0 52.42 93.46 8.8
55.0 52.39 91.27 8.7
55.0 52.63 -3.16 8.4
55.0 52.59 92.24 8.6
55.0 52.50 105.05 8.2
55.0 52.47 94.89 8.8
55.0 52.46 86.43 8.8
55.0 52.47 72.07 8.9
55.0 52.40 106.67 8.8
55.0 52.36 99.59 9.1
55.0 52.26 121.19 9.3
55.0 52.26 90.58 9.2
55.0 52.23 91.87 9.5
55.0 52.17 113.79 9.7
55.0 52.04 140.10 9.7
55.0 52.05 94.23 10.0
55.0 52.06 94.25 10.3
55.0 52.08 94.27 10.2
55.0 52.07 94.80 10.3
55.0 52.07 94.78 10.8
55.0 52.09 94.16 10.2
55.0 52.10 89.82 10.2
55.0 52.14 84.58 10.2
55.0 52.16 84.93 10.3
55.0 52.13 107.97 10.1
55.0 52.12 99.21 10.2
55.0 52.07 113.63 9.9
55.0 52.06 103.95 10.4
55.0 52.01 113.54 10.7
55.0 51.96 121.99 11.7
55.0 51.97 103.64 10.8
55.0 51.94 117.47 10.9
55.0 51.85 132.40 11.4
55.0 51.84 113.05 11.2
55.0 51.83 113.06 11.4
55.0 51.83 113.08 11.6
55.0 51.78 122.76 11.6
55.0 51.75 126.80 11.5
55.0 51.74 113.10 11.9
55.0 51.76 108.60 12.4
55.0 51.77 103.50 11.9
55.0 51.77 113.17 11.8
55.0 51.74 122.36 11.4
55.0 51.72 117.87 11.9
55.0 51.71 122.66 12.1
55.0 51.74 98.60 12.0
55.0 51.73 113.09 12.0
