55.0 56.42 -74.28 9.8
55.0 56.42 -65.62 9.7
55.0 56.49 -88.18 9.7
55.0 56.49 -69.03 10.3
55.0 56.52 -80.22 10.1
55.0 56.64 -113.50 10.3
55.0 56.77 -127.80 10.8
55.0 56.77 -83.90 11.4
55.0 56.77 -87.43 11.5
55.0 56.78 -85.89 11.6
55.0 56.78 -83.98 11.8
55.0 56.80 -91.65 11.6
55.0 56.83 -98.48 12.3
55.0 56.85 -92.17 11.6
55.0 56.89 -101.29 12.4
55.0 56.92 -105.14 12.3
55.0 56.96 -110.98 12.3
55.0 56.96 -91.84 12.9
55.0 56.98 -106.29 12.9
55.0 56.97 -92.09 13.2
55.0 57.06 -125.07 13.1
55.0 57.07 -104.06 13.2
55.0 57.09 -108.25 13.2
55.0 57.13 -119.11 13.4
55.0 57.16 -110.52 12.9
55.0 57.13 -103.61 13.9
55.0 57.15 -110.48 13.8
55.0 57.16 -109.53 14.0
55.0 57.13 -99.07 14.1
55.0 57.16 -110.52 14.1
55.0 57.10 -83.54 14.0
55.0 57.16 -124.63 14.0
55.0 57.16 -105.35 14.1
55.0 57.25 -136.45 14.2
55.0 57.13 -68.63 14.3
55.0 57.13 -103.93 14.3
55.0 57.20 -127.09 14.4
55.0 57.15 -94.46 14.3
55.0 57.24 -133.03 14.4
55.0 57.33 -143.11 14.6
55.0 57.33 -113.14 15.0
55.0 57.32 -117.31 14.7
55.0 57.29 -102.03 14.9
55.0 57.29 -111.85 15.1
55.0 57.29 -117.02 14.9
55.0 57.37 -138.62 15.1
55.0 57.33 -102.61 15.1
55.0 57.34 -122.44 15.0
55.0 57.36 -118.75 15.0
55.0 57.39 -128.86 15.3
55.0 57.39 -113.91 15.1
55.0 57.42 -133.81 14.8
55.0 57.38 -103.29 15.3
55.0 57.39 -119.32 15.3
55.0 57.39 -123.63 15.5
55.0 57.39 -113.95 15.7
55.0 57.45 -140.18 15.2
55.0 57.44 -119.73 15.6
55.0 57.42 -114.29 15.5
55.0 57.48 -136.56 15.6
55.0 57.44 -115.00 15.1
55.0 57.51 -142.39 15.8
55.0 57.48 -115.37 16.2
55.0 57.45 -114.88 15.9
55.0 57.44 -119.74 15.8
55.0 57.27 -55.30 15.8
55.0 57.29 -117.80 15.2
55.0 57.33 -127.79 15.0
55.0 57.27 -96.65 15.1
55.0 57.27 -102.22 14.5
55.0 57.23 -105.75 14.8
55.0 57.21 -100.80 14.9
55.0 57.18 -99.92 14.7
55.0 57.34 -161.73 14.7
55.0 57.31 -107.36 14.8
55.0 57.26 -91.04 14.5
55.0 57.20 -95.43 14.7
55.0 57.17 -90.19 14.6
